Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,100,0,15,14.954782001441345,6.324699963442981,26.494399993680418,64.0,0.8426259391891163,0.0,15,17,18,18,20,21,25,26,26,26,26
GET,/tasks 列表,3633,0,6,7.251719185797164,2.1253000013530254,55.6294999551028,1757.0,30.612600370740594,0.0,6,7,8,9,12,16,23,30,52,56,56
POST,/tasks 创建,680,0,9,12.260569707209738,5.229600006714463,86.74190001329407,73.0,5.729856386485991,0.0,9,12,14,15,20,28,38,55,87,87,87
GET,/tasks/{id} 不存在,1413,1413,9,10.109274593094247,4.181399999652058,56.64170003728941,21.0,11.906304520742212,11.906304520742212,9,10,12,13,16,20,27,35,52,57,57
,Aggregated,5826,1413,7,8.66161455597151,2.1253000013530254,86.74190001329407,1110.3491246138003,49.091387217157916,11.906304520742212,7,9,10,11,15,19,27,35,59,87,87
