Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,200,0,24,26.144110001332592,12.562100018840283,56.439600011799484,64.0,1.6873146689426948,0.0,24,27,29,32,40,47,53,54,56,56,56
GET,/tasks 列表,7192,0,7,9.32194431277354,2.095300005748868,94.75009999005124,1757.0,60.67583549517931,0.0,7,9,10,12,17,25,40,52,77,95,95
POST,/tasks 创建,1387,0,11,15.9938812537707,4.84200002392754,246.94869999075308,73.0,11.70152722911759,0.0,11,14,18,19,32,41,68,92,210,250,250
GET,/tasks/{id} 不存在,2853,2853,9,11.85655103399589,3.670700010843575,91.73139999620616,21.0,24.069543752467542,24.069543752467542,9,12,13,15,20,27,43,55,80,92,92
,Aggregated,11632,2853,8,11.02841290377442,2.095300005748868,246.94869999075308,1101.2988308115544,98.13422114570713,24.069543752467542,8,10,12,14,20,30,45,58,95,210,250
