Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,50,0,10,10.1040159992408,4.226099990773946,20.39119997061789,64.0,0.420653212809137,0.0,10,12,13,14,16,18,20,20,20,20,20
GET,/tasks 列表,1756,0,6,6.714328132740302,2.3059999803081155,45.4600999946706,1757.0,14.77334083385689,0.0,6,7,8,9,11,13,17,19,45,45,45
POST,/tasks 创建,350,0,10,11.315182002560634,5.33379998523742,43.46309998072684,73.0,2.9445724896639587,0.0,10,12,13,14,15,20,35,35,43,43,43
GET,/tasks/{id} 不存在,739,739,9,9.769780377804457,4.131199966650456,73.4278000309132,21.0,6.217254485319044,6.217254485319044,9,11,12,12,15,16,19,23,73,73,73
,Aggregated,2895,739,7,8.109064732693515,2.3059999803081155,73.4278000309132,1081.0227979274612,24.35582102164903,6.217254485319044,7,9,10,11,13,15,19,24,45,73,73
