Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,400,0,46,52.67537824867759,17.043099971488118,135.46469999710098,64.0,3.357342831576906,0.0,46,56,63,69,90,100,120,130,140,140,140
GET,/tasks 列表,12719,0,11,19.40092375186198,1.9680000259540975,400.0244999770075,1757.0,106.75510868706667,0.0,11,17,23,29,46,62,84,100,320,390,400
POST,/tasks 创建,2504,0,18,35.41195255578882,4.788800026290119,1180.0298999878578,73.0,21.01696612567143,0.0,18,30,40,50,81,110,160,210,1000,1200,1200
GET,/tasks/{id} 不存在,4920,4920,13,21.488772683393123,3.824499959591776,400.46540001640096,21.0,41.29531682839594,41.29531682839594,13,20,26,32,48,62,90,100,300,400,400
,Aggregated,20543,4920,13,22.500452285517838,1.9680000259540975,1180.0298999878578,1103.0032127732075,172.42473447271095,41.29531682839594,13,20,27,34,51,70,97,120,330,1000,1200
