Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,200,0,55,54.276993998500984,11.14889996824786,130.3808999946341,64.0,1.6845448455277203,0.0,55,65,77,80,110,120,130,130,130,130,130
GET,/tasks 列表,7130,0,6,10.144191065856724,2.0321999909356236,315.2853000210598,1648.0,60.05402374306323,0.0,6,8,9,11,17,32,64,94,180,320,320
POST,/tasks 创建,1473,1020,4,10.801070332002382,1.0825999779626727,271.8594000325538,48.07128309572301,12.40667278731166,8.591178712191374,4,7,9,11,19,42,88,120,240,270,270
GET,/tasks/{id} 不存在,2880,2880,6,10.679684583980512,1.846599974669516,237.6145000453107,21.0,24.257445775599173,24.257445775599173,6,7,9,11,19,37,73,99,200,240,240
,Aggregated,11683,3900,6,11.114521039130533,1.0825999779626727,315.2853000210598,1018.0885902593512,98.40268715150178,32.848624487790545,6,8,10,11,20,41,77,110,200,300,320
