Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,10,0,7,8.682699996279553,3.9331000298261642,16.956100007519126,64.0,0.08405556712388158,0.0,7,8,13,16,17,17,17,17,17,17,17
GET,/tasks 列表,382,0,6,6.166141100333887,2.716100018005818,17.116200004238635,1757.0,3.2109226641322763,0.0,6,7,8,8,9,10,12,13,17,17,17
POST,/tasks 创建,67,0,10,11.126411942341157,5.881700024474412,17.386000021360815,73.0,0.5631722997300066,0.0,10,12,13,14,16,16,17,17,17,17,17
GET,/tasks/{id} 不存在,135,135,9,9.909191847502909,4.721800039988011,53.5278000170365,21.0,1.1347501561724014,1.1347501561724014,9,11,12,12,13,14,22,22,54,54,54
,Aggregated,594,135,7,7.618692592323384,2.716100018005818,53.5278000170365,1144.006734006734,4.992900687158566,1.1347501561724014,7,8,9,10,12,14,16,17,54,54,54
