Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,10,0,8,8.618340000975877,5.566000007092953,12.65889999922365,64.0,0.04314367546460275,0.0,8,9,12,12,13,13,13,13,13,13,13
GET,/tasks 列表,725,0,11,44.853142621798504,2.882200002204627,3352.758899971377,1757.0,3.127916471183699,0.0,11,12,14,15,18,22,190,1700,3400,3400,3400
POST,/tasks 创建,135,97,8,35.524862222545956,1.7396999755874276,3255.8636000030674,47.13333333333333,0.5824396187721371,0.4184936520066467,8,12,16,18,26,32,38,41,3300,3300,3300
GET,/tasks/{id} 不存在,271,271,10,29.13172620179379,2.8344999882392585,3178.240800043568,21.0,1.1691936050907346,1.1691936050907346,10,12,13,14,17,22,25,110,3200,3200,3200
,Aggregated,1141,368,10,39.697866784875984,1.7396999755874276,3352.758899971377,1127.5363716038562,4.9226933705111735,1.5876872570973812,10,12,14,15,18,23,41,1500,3300,3400,3400
